pageid,title,timestamp,days_since_upload,uploader,file_url,filesize,mime,categories,exif
15655236,"File:1047 - Keramikos Museum, Athens - Vase shaped as a grain silos, 700-650 BC - Photo by Giovanni Dall'Orto Nov 12 2009.jpg",2011-06-29T14:29:30Z,5086,G.dallorto,https://upload.wikimedia.org/wikipedia/commons/6/69/1047_-_Keramikos_Museum%2C_Athens_-_Vase_shaped_as_a_grain_silos%2C_700-650_BC_-_Photo_by_Giovanni_Dall%27Orto_Nov_12_2009.jpg,543489,image/jpeg,"[""Category:680s BC pottery in Athens"", ""Category:690s BC pottery in Athens"", ""Category:700s BC pottery in Athens"", ""Category:Agricultural buildings in art"", ""Category:Ancient Greek agriculture"", ""Category:Ancient Greek architecture"", ""Category:Ancient Greek terracotta figurines in the Kerameikos Archaeological Museum (Athens)"", ""Category:Ancient silos"", ""Category:Attic Geometric pottery in the Kerameikos Archaeological Museum (Athens)"", ""Category:Attribution only license"", ""Category:Kerameikos Archaeological Museum (Athens) - Room 4"", ""Category:Self-published work"", ""Category:Taken with Canon EOS 1000D""]","{""Make"": ""Canon"", ""Model"": ""Canon EOS 1000D"", ""Orientation"": 1, ""XResolution"": ""300/1"", ""YResolution"": ""300/1"", ""ResolutionUnit"": 2, ""DateTime"": ""2009:11:24 23:11:05"", ""YCbCrPositioning"": 2, ""ExposureTime"": ""1/50"", ""FNumber"": ""5/1"", ""ISOSpeedRatings"": 640, ""ExifVersion"": ""0221"", ""DateTimeOriginal"": ""2009:11:12 09:23:35"", ""DateTimeDigitized"": ""2009:11:12 09:23:35"", ""ComponentsConfiguration"": ""\n#1\n#2\n#3\n#0"", ""ShutterSpeedValue"": ""368640/65536"", ""ApertureValue"": ""303104/65536"", ""ExposureBiasValue"": ""0/1"", ""MeteringMode"": 5, ""Flash"": 16, ""FocalLength"": ""38/1"", ""SubSecTime"": ""19"", ""SubSecTimeOriginal"": ""19"", ""SubSecTimeDigitized"": ""19"", ""FlashPixVersion"": ""0100"", ""ColorSpace"": 1, ""FocalPlaneXResolution"": ""2816000/876"", ""FocalPlaneYResolution"": ""1880000/583"", ""FocalPlaneResolutionUnit"": 2, ""MEDIAWIKI_EXIF_VERSION"": 1}"
15655237,"File:1048 - Keramikos Museum, Athens - Vase shaped as a grain silos, 700-650 BC - Photo by Giovanni Dall'Orto Nov 12 2009.jpg",2011-06-29T14:29:32Z,5086,G.dallorto,https://upload.wikimedia.org/wikipedia/commons/9/9d/1048_-_Keramikos_Museum%2C_Athens_-_Vase_shaped_as_a_grain_silos%2C_700-650_BC_-_Photo_by_Giovanni_Dall%27Orto_Nov_12_2009.jpg,483781,image/jpeg,"[""Category:680s BC pottery in Athens"", ""Category:690s BC pottery in Athens"", ""Category:700s BC pottery in Athens"", ""Category:Agricultural buildings in art"", ""Category:Ancient Greek agriculture"", ""Category:Ancient Greek architecture"", ""Category:Ancient Greek terracotta figurines in the Kerameikos Archaeological Museum (Athens)"", ""Category:Attic Geometric pottery in the Kerameikos Archaeological Museum (Athens)"", ""Category:Attribution only license"", ""Category:Kerameikos Archaeological Museum (Athens) - Room 4"", ""Category:Self-published work"", ""Category:Taken with Canon EOS 1000D""]","{""Make"": ""Canon"", ""Model"": ""Canon EOS 1000D"", ""Orientation"": 1, ""XResolution"": ""300/1"", ""YResolution"": ""300/1"", ""ResolutionUnit"": 2, ""DateTime"": ""2009:11:24 23:11:42"", ""YCbCrPositioning"": 2, ""ExposureTime"": ""1/50"", ""FNumber"": ""56/10"", ""ISOSpeedRatings"": 400, ""ExifVersion"": ""0221"", ""DateTimeOriginal"": ""2009:11:12 09:23:39"", ""DateTimeDigitized"": ""2009:11:12 09:23:39"", ""ComponentsConfiguration"": ""\n#1\n#2\n#3\n#0"", ""ShutterSpeedValue"": ""368640/65536"", ""ApertureValue"": ""327680/65536"", ""ExposureBiasValue"": ""0/1"", ""MeteringMode"": 5, ""Flash"": 16, ""FocalLength"": ""47/1"", ""SubSecTime"": ""00"", ""SubSecTimeOriginal"": ""00"", ""SubSecTimeDigitized"": ""00"", ""FlashPixVersion"": ""0100"", ""ColorSpace"": 1, ""FocalPlaneXResolution"": ""2816000/876"", ""FocalPlaneYResolution"": ""1880000/583"", ""FocalPlaneResolutionUnit"": 2, ""MEDIAWIKI_EXIF_VERSION"": 1}"
98936374,File:Amphiantis.GIF,2007-12-03T17:42:02Z,6390,Satak Lord,https://upload.wikimedia.org/wikipedia/commons/b/b3/Amphiantis.GIF,2155,image/gif,"[""Category:Ancient Greek architecture"", ""Category:PD-self"", ""Category:Self-published work""]","{""frameCount"": 1, ""metadata"": [{""name"": ""_MW_GIF_VERSION"", ""value"": 1}]}"
77695750,"File:Ancient Topiros, Nestos, Greece.jpg",2019-03-31T18:09:15Z,2254,DocWoKav,https://upload.wikimedia.org/wikipedia/commons/3/3a/Ancient_Topiros%2C_Nestos%2C_Greece.jpg,4961792,image/jpeg,"[""Category:6th-century architecture in Greece"", ""Category:Ancient Greek architecture"", ""Category:CC-BY-SA-4.0"", ""Category:Files with coordinates missing SDC location of creation"", ""Category:Greece photographs taken on 2019-03-31"", ""Category:Nestos River"", ""Category:Self-published work"", ""Category:Slavic expansion into Byzantine territory"", ""Category:Topiros""]","{""Make"": ""Panasonic"", ""Model"": ""DMC-TZ31"", ""Orientation"": 1, ""XResolution"": ""180/1"", ""YResolution"": ""180/1"", ""ResolutionUnit"": 2, ""Software"": ""Ver.1.0  "", ""DateTime"": ""2019:03:31 18:23:14"", ""YCbCrPositioning"": 2, ""ExposureTime"": ""10/2000"", ""FNumber"": ""42/10"", ""ExposureProgram"": 2, ""ISOSpeedRatings"": 100, ""ExifVersion"": ""0230"", ""DateTimeOriginal"": ""2019:03:31 18:23:14"", ""DateTimeDigitized"": ""2019:03:31 18:23:14"", ""ComponentsConfiguration"": ""\n#1\n#2\n#3\n#0"", ""CompressedBitsPerPixel"": ""4/1"", ""ExposureBiasValue"": ""0/100"", ""MaxApertureValue"": ""530/128"", ""MeteringMode"": 5, ""Flash"": 16, ""FocalLength"": ""85/10"", ""FlashPixVersion"": ""0100"", ""ColorSpace"": 1, ""SensingMethod"": 2, ""FileSource"": 3, ""SceneType"": 1, ""CustomRendered"": 1, ""DigitalZoomRatio"": ""0/10"", ""FocalLengthIn35mmFilm"": 51, ""GPSLatitude"": 40.94351388888889, ""GPSLongitude"": 24.421916666666668, ""GPSTimeStamp"": ""\n*14/1\n*49/1\n*36/1"", ""GPSStatus"": ""A"", ""GPSMeasureMode"": ""2"", ""GPSDOP"": ""0/10"", ""GPSMapDatum"": ""WGS-84   "", ""GPSAreaInformation"": ""﻿Agios Athanasios"", ""GPSDateStamp"": ""2019:03:11"", ""GPSVersionID"": ""0.0.3.2"", ""MEDIAWIKI_EXIF_VERSION"": 1}"
7225858,File:Brockhaus and Efron Encyclopedic Dictionary b16 707-0.jpg,2009-07-06T14:58:11Z,5809,ButkoBot,https://upload.wikimedia.org/wikipedia/commons/f/f5/Brockhaus_and_Efron_Encyclopedic_Dictionary_b16_707-0.jpg,62460,image/jpeg,"[""Category:Ancient Greek architecture"", ""Category:Floor plans of schools"", ""Category:Images from Brockhaus and Efron Encyclopedic Dictionary"", ""Category:PD-RusEmpire"", ""Category:PD Brockhaus&Efron"", ""Category:School gymnasiums""]","{""_error"": ""0""}"
98936539,File:Dipterosz.GIF,2007-12-09T20:38:25Z,6384,Satak Lord,https://upload.wikimedia.org/wikipedia/commons/5/5e/Dipterosz.GIF,4228,image/gif,"[""Category:Ancient Greek architecture"", ""Category:PD-self"", ""Category:Self-published work""]","{""frameCount"": 1, ""metadata"": [{""name"": ""_MW_GIF_VERSION"", ""value"": 1}]}"
141501733,File:Dr Johannes Schies Khartoum column capital.png,2023-11-27T23:41:36Z,552,Not-A-Kitty,https://upload.wikimedia.org/wikipedia/commons/b/ba/Dr_Johannes_Schies_Khartoum_column_capital.png,876183,image/png,"[""Category:Al Khartoum Square"", ""Category:Alexandria in the 1890s"", ""Category:Ancient Greek architecture"", ""Category:CC-PD-Mark"", ""Category:Corinthian columns"", ""Category:Male physicians"", ""Category:PD-old-70-expired"", ""Category:PD-old missing SDC copyright status""]","{""loopCount"": 1, ""bitDepth"": 8, ""colorType"": ""truecolour"", ""metadata"": [{""name"": ""XResolution"", ""value"": ""6890/100""}, {""name"": ""YResolution"", ""value"": ""6890/100""}, {""name"": ""ResolutionUnit"", ""value"": 3}, {""name"": ""_MW_PNG_VERSION"", ""value"": 1}]}"
60588179,File:Esselborn2 fig 212.png,2017-07-02T11:06:17Z,2891,Vicens,https://upload.wikimedia.org/wikipedia/commons/2/2e/Esselborn2_fig_212.png,27312,image/png,"[""Category:Ancient Greek architecture"", ""Category:CC-PD-Mark"", ""Category:Josef Durm construction drawings"", ""Category:PD-old-70-expired""]","{""loopCount"": 1, ""bitDepth"": 1, ""colorType"": ""greyscale"", ""metadata"": [{""name"": ""XResolution"", ""value"": ""14173/100""}, {""name"": ""YResolution"", ""value"": ""14173/100""}, {""name"": ""ResolutionUnit"", ""value"": 3}, {""name"": ""_MW_PNG_VERSION"", ""value"": 1}]}"
97648916,File:Foundations Chapter 4 The Aegean.png,2020-12-17T14:34:21Z,1627,Kognos,https://upload.wikimedia.org/wikipedia/commons/9/96/Foundations_Chapter_4_The_Aegean.png,3169265,image/png,"[""Category:Ancient Greek architecture"", ""Category:CC-PD-Mark"", ""Category:Harold Broadfield Warren"", ""Category:Lion Gate (Mycenae) in art"", ""Category:PD-old-70-expired"", ""Category:PD-old missing SDC copyright status""]","{""loopCount"": 1, ""bitDepth"": 8, ""colorType"": ""truecolour"", ""metadata"": [{""name"": ""XResolution"", ""value"": ""23621/100""}, {""name"": ""YResolution"", ""value"": ""23621/100""}, {""name"": ""ResolutionUnit"", ""value"": 3}, {""name"": ""DateTime"", ""value"": ""2020:12:17 14:32:39""}, {""name"": ""_MW_PNG_VERSION"", ""value"": 1}]}"
