objectID,title,objectName,objectDate,period,culture,medium,classification,artistDisplayName,repository,objectURL,imageFiles
251468,Terracotta amphora (jar),Amphora,ca. 480–460 BCE,Classical,Etruscan,Terracotta,Vases,Praxias Group,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/251468,met_highlights_greek_roman\Amphora\251468_1.jpg|met_highlights_greek_roman\Amphora\251468_2.jpg
248813,Gold necklace,"Necklace, with medallion",late 4th–3rd century BCE,Early Hellenistic,"Greek, South Italian, Tarentine",Gold,Gold and Silver,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/248813,met_highlights_greek_roman\Necklace_ with medallion\248813_1.jpg|met_highlights_greek_roman\Necklace_ with medallion\248813_2.jpg|met_highlights_greek_roman\Necklace_ with medallion\248813_3.jpg|met_highlights_greek_roman\Necklace_ with medallion\248813_4.jpg
249598,Glass plaque fragment,Plaque fragment,1st century CE,Early Imperial,Roman,Glass,Glass,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/249598,met_highlights_greek_roman\Plaque fragment\249598_1.jpg
254968,Gold funerary wreath,"Wreath, funerary",1st–2nd century CE,Imperial,Roman,Gold,Gold and Silver,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/254968,met_highlights_greek_roman\Wreath_ funerary\254968_1.jpg
250556,Marble torso of a youth,"Statue of a youth, torso",ca. 118–161 CE,"Mid-Imperial, Hadrianic or Antonine",Roman,Marble,Stone Sculpture,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/250556,met_highlights_greek_roman\Statue of a youth_ torso\250556_1.jpg|met_highlights_greek_roman\Statue of a youth_ torso\250556_2.jpg|met_highlights_greek_roman\Statue of a youth_ torso\250556_3.jpg|met_highlights_greek_roman\Statue of a youth_ torso\250556_4.jpg
255407,Bronze statuette of a youth dancing,Statuette of a youth dancing,late 4th century BCE,Hellenistic,Greek,Bronze,Bronzes,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/255407,met_highlights_greek_roman\Statuette of a youth dancing\255407_1.jpg|met_highlights_greek_roman\Statuette of a youth dancing\255407_2.jpg|met_highlights_greek_roman\Statuette of a youth dancing\255407_3.jpg|met_highlights_greek_roman\Statuette of a youth dancing\255407_4.jpg|met_highlights_greek_roman\Statuette of a youth dancing\255407_5.jpg
248466,Bronze statuette of a philosopher on a lamp stand,"Statuette of philosopher on lamp stand, Hermarchos ?",late 1st century BCE,"Early Imperial, Augustan",Roman,Bronze,Bronzes,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/248466,met_highlights_greek_roman\Statuette of philosopher on lamp stand_ Hermarchos _\248466_1.jpg|met_highlights_greek_roman\Statuette of philosopher on lamp stand_ Hermarchos _\248466_2.jpg|met_highlights_greek_roman\Statuette of philosopher on lamp stand_ Hermarchos _\248466_3.jpg|met_highlights_greek_roman\Statuette of philosopher on lamp stand_ Hermarchos _\248466_4.jpg|met_highlights_greek_roman\Statuette of philosopher on lamp stand_ Hermarchos _\248466_5.jpg|met_highlights_greek_roman\Statuette of philosopher on lamp stand_ Hermarchos _\248466_6.jpg
251469,Terracotta amphora (jar),Amphora,early 5th century BCE,Classical,Etruscan,Terracotta,Vases,Praxias Group,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/251469,met_highlights_greek_roman\Amphora\251469_1.jpg|met_highlights_greek_roman\Amphora\251469_2.jpg
248166,Terracotta statuette of a standing woman,Statuette of standing draped woman,late 4th–early 3rd century BCE,Classical,"Greek, probably Boeotian",Terracotta,Terracottas,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/248166,met_highlights_greek_roman\Statuette of standing draped woman\248166_1.jpg
854970,,Unknown,,,,,,,,,
