id,title,classification,century,culture,image_path
229253,Square Capital with Design of Faces,Architecture Elements,,Byzantine,images/Byzantine/Architecture Elements/229253.jpg
20341,Follis of Basil II,Coins,10th-11th century,Byzantine,images/Byzantine/Coins/20341.jpg
27288,"Follis of Justin II, Antioch",Coins,6th century,Byzantine,images/Byzantine/Coins/27288.jpg
27564,"Follis of Anastasios I, Constantinople",Coins,5th century,Byzantine,images/Byzantine/Coins/27564.jpg
50574,"Coin of Theodosius I, Nikomedeia",Coins,4th century CE,Byzantine,images/Byzantine/Coins/50574.jpg
51009,Coin of Heraklonas,Coins,7th century,Byzantine,images/Byzantine/Coins/51009.jpg
51324,Coin of Alexios I,Coins,11th century,Byzantine,images/Byzantine/Coins/51324.jpg
51384,Anonymous Follis,Coins,,Byzantine,images/Byzantine/Coins/51384.jpg
51400,Histamenon of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/51400.jpg
74533,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74533.jpg
74752,Tetarteron of Alexios III,Coins,14th century,Byzantine,images/Byzantine/Coins/74752.jpg
74760,Coin of Isaac II,Coins,12th-13th century,Byzantine,images/Byzantine/Coins/74760.jpg
70006,coin,Coins,,Byzantine,images/Byzantine/Coins/70006.jpg
74542,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74542.jpg
74534,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74534.jpg
74753,Tetarteron of Alexios III,Coins,14th century,Byzantine,images/Byzantine/Coins/74753.jpg
74761,Coin of Isaac II,Coins,12th-13th century,Byzantine,images/Byzantine/Coins/74761.jpg
50092,Coin of Tiberius II,Coins,6th century,Byzantine,images/Byzantine/Coins/50092.jpg
74543,Coin of John II,Coins,12th century,Byzantine,images/Byzantine/Coins/74543.jpg
74535,Coin of Alexios I,Coins,11th-12th century,Byzantine,images/Byzantine/Coins/74535.jpg
